Label,Channel,Frequency_Band,Mean_PSD,Variance_PSD
2,C3,16-18Hz,-64.00652286963472,7.208333979095911
2,C3,18-20Hz,-64.52592359729589,9.01065952350541
2,C3,20-22Hz,-63.77848538933448,10.392398523003544
2,C3,22-24Hz,-62.50187436505137,7.1658281369151435
2,C3,24-26Hz,-61.398703478982696,10.481440802330017
2,C3,26-28Hz,-62.60880754427269,11.464227512417644
2,C3,28-30Hz,-63.83351854022669,9.852400342537134
2,C3,30-32Hz,-65.19522765209211,11.721056217401138
2,C3,32-34Hz,-67.37031031839192,12.820148699650156
2,C3,34-36Hz,-68.85466742920893,18.777348768534605
2,Cz,4-6Hz,-58.8389339051245,2.789434256874143
2,Cz,6-8Hz,-58.466988451265784,5.3620554194890975
2,Cz,8-10Hz,-57.400363453328254,9.734307408420658
2,Cz,10-12Hz,-59.10740304730302,9.046060553613497
2,Cz,12-14Hz,-61.19680262923985,2.8485223296202946
2,Cz,14-16Hz,-63.9751641707645,3.0217734642622176
2,Cz,16-18Hz,-64.98987885930455,4.297435509718297
2,Cz,18-20Hz,-64.96479628579877,5.4819163573326195
2,Cz,20-22Hz,-64.93339884554729,6.382037893975436
2,Cz,22-24Hz,-65.57198147542562,5.1373505767197685
2,Cz,24-26Hz,-64.83403140378033,4.297859674104047
2,Cz,26-28Hz,-64.75057280885632,6.468272687905189
2,Cz,28-30Hz,-65.83790398306716,6.2968483180898565
2,Cz,30-32Hz,-66.94949410592275,5.509144928880549
2,Cz,32-34Hz,-67.8669228874888,6.319037028508862
2,Cz,34-36Hz,-69.10476588089217,4.42327651358035
2,C4,4-6Hz,-60.84862057658983,4.515059044320299
2,C4,6-8Hz,-61.33339525857562,3.668617145593737
2,C4,8-10Hz,-59.52096127083125,3.996999827445054
2,C4,10-12Hz,-56.67575254762064,7.774602724552082
2,C4,12-14Hz,-56.60784389428052,9.746862644406868
2,C4,14-16Hz,-61.23816153157297,8.083238479424374
2,C4,16-18Hz,-63.934246270839914,6.648048000914567
2,C4,18-20Hz,-64.0473395897863,13.960875810196315
2,C4,20-22Hz,-64.55060634159938,14.89123144105441
2,C4,22-24Hz,-63.90384060031043,18.714015765823888
2,C4,24-26Hz,-62.94416685185281,10.461255314335697
2,C4,26-28Hz,-63.72569629124311,20.704415421390376
2,C4,28-30Hz,-64.79137736913457,22.066198517083272
2,C4,30-32Hz,-65.12560013431506,21.162502972046976
2,C4,32-34Hz,-66.58014975311261,18.652957732367145
2,C4,34-36Hz,-68.58616150069464,19.89014003742024
2,CP3,4-6Hz,-54.81368133749024,5.026228811173566
2,CP3,6-8Hz,-53.63537968113823,8.68317402699946
2,CP3,8-10Hz,-50.990034173276925,15.06224618805205
2,CP3,10-12Hz,-53.4787695139737,12.547354053436884
2,CP3,12-14Hz,-58.68191669641802,4.072093708596103
2,CP3,14-16Hz,-60.69046289339209,5.4214464040017045
2,CP3,16-18Hz,-60.470245610570736,5.704366104633211
2,CP3,18-20Hz,-60.81686619021559,2.942744584587978
2,CP3,20-22Hz,-61.79316349772869,4.216893745261585
2,CP3,22-24Hz,-62.64365247674399,5.125062756543341
2,CP3,24-26Hz,-62.985494922857775,6.479690493557916
2,CP3,26-28Hz,-64.16317125189984,7.431156134877103
2,CP3,28-30Hz,-65.89789566780344,6.755280058520802
2,CP3,30-32Hz,-67.78477383555322,7.435824229604089
2,CP3,32-34Hz,-68.93949644910116,7.95696548422072
2,CP3,34-36Hz,-69.27858898891772,17.99731590216917
2,CPz,4-6Hz,-57.16887442372969,2.4527164637097107
2,CPz,6-8Hz,-56.028827387187334,11.72868906987234
2,CPz,8-10Hz,-52.70986276439773,16.250170056105855
2,CPz,10-12Hz,-54.93900181783558,14.742915661273718
2,CPz,12-14Hz,-60.46296207284838,5.009689577484566
2,CPz,14-16Hz,-62.60907892765127,4.895302459450161
2,CPz,16-18Hz,-62.399148198067586,6.309877629836792
2,CPz,18-20Hz,-63.387171195429005,5.673113316436142
2,CPz,20-22Hz,-64.74790476987073,3.024194975862368
2,CPz,22-24Hz,-66.30218413297938,6.437062089635645
2,CPz,24-26Hz,-66.53507538893422,5.1674482260750345
2,CPz,26-28Hz,-67.25651583754892,3.3365431444418774
2,CPz,28-30Hz,-68.80322840192656,2.680123465797378
2,CPz,30-32Hz,-69.62342451599035,3.738188567243037
2,CPz,32-34Hz,-70.58516395139328,4.336948207970584
2,CPz,34-36Hz,-71.53502517017064,4.187370216810477
2,CP4,4-6Hz,-55.91269854840688,4.960005764154492
2,CP4,6-8Hz,-53.98349981023373,10.921805618100999
2,CP4,8-10Hz,-51.0350256131726,18.322730461208437
2,CP4,10-12Hz,-53.55798726952667,15.591092441447946
2,CP4,12-14Hz,-60.28742545685788,5.611853506809335
2,CP4,14-16Hz,-62.35118339563165,2.7152982377575414
2,CP4,16-18Hz,-62.12114109506489,6.952584410652516
2,CP4,18-20Hz,-61.93648961537504,7.119460505266655
2,CP4,20-22Hz,-63.168101866314345,10.035731686544185
2,CP4,22-24Hz,-64.3416863742222,12.361929323109077
2,CP4,24-26Hz,-65.08479846143115,4.850294042376052
2,CP4,26-28Hz,-65.42166329036658,10.606026738460184
2,CP4,28-30Hz,-66.45537263100823,12.426583686808154
2,CP4,30-32Hz,-67.82589419933848,7.0910059309263245
2,CP4,32-34Hz,-69.3945104313862,12.442248613814535
2,CP4,34-36Hz,-70.64169852091463,11.818259759504846
3,FC3,4-6Hz,-55.347843021038194,3.3836083441565705
3,FC3,6-8Hz,-56.166442414453925,4.265780779566443
3,FC3,8-10Hz,-55.45531244246273,5.0984567911125
3,FC3,10-12Hz,-56.64706177691399,3.688324630778311
3,FC3,12-14Hz,-59.07388463313048,6.686267218906805
3,FC3,14-16Hz,-60.80995440761622,3.326706882685345
3,FC3,16-18Hz,-61.64459543102157,3.3767036616837007
3,FC3,18-20Hz,-61.510565203672535,3.4632478576755834
3,FC3,20-22Hz,-61.449320223316846,3.635390865416364
3,FC3,22-24Hz,-61.848397057706116,5.0716678419008705
3,FC3,24-26Hz,-62.00848266480177,3.2466568256844606
3,FC3,26-28Hz,-62.83426643692669,4.170900709172207
3,FC3,28-30Hz,-63.374095778323,3.6042764785060073
3,FC3,30-32Hz,-63.74966725420599,2.9892715066306064
3,FC3,32-34Hz,-65.09946549561072,3.77304631302325
3,FC3,34-36Hz,-67.0767112305754,3.3451755553700107
3,FCz,4-6Hz,-56.516275856866706,3.2198189229304766
3,FCz,6-8Hz,-56.51517012681276,3.1748579842440887
3,FCz,8-10Hz,-57.282077480330486,4.1877257440054985
3,FCz,10-12Hz,-59.27406122119209,4.101412491707477
3,FCz,12-14Hz,-61.04319357619194,5.616668567438493
3,FCz,14-16Hz,-62.94639750928824,4.3657525745182975
3,FCz,16-18Hz,-63.67038824247668,3.552978303115439
3,FCz,18-20Hz,-63.49366388574634,2.3376481480854747
3,FCz,20-22Hz,-64.98293780042572,3.6825997788190037
3,FCz,22-24Hz,-66.20223234679867,3.7382588124195513
3,FCz,24-26Hz,-66.34674245193095,3.775653441622652
3,FCz,26-28Hz,-66.79627849108752,4.568805101333774
3,FCz,28-30Hz,-67.41388148666279,1.6093254539349562
3,FCz,30-32Hz,-67.50627196611181,2.835958506724137
3,FCz,32-34Hz,-68.5722098682384,2.464109866383204
3,FCz,34-36Hz,-70.19659642191209,3.2109124949458985
3,FC4,4-6Hz,-56.54174642699993,3.204398371480855
3,FC4,6-8Hz,-56.95157190846346,4.773999103269081
3,FC4,8-10Hz,-54.55542125563451,6.03824683030897
3,FC4,10-12Hz,-54.69350883283676,6.160841340528996
3,FC4,12-14Hz,-56.50946726361217,5.208537651193014
3,FC4,14-16Hz,-60.10786651460047,5.545670217250307
3,FC4,16-18Hz,-60.00549884985182,5.636972067185059
3,FC4,18-20Hz,-59.214367832294016,3.6436339656787013
3,FC4,20-22Hz,-59.83450078604553,4.545200021200033
3,FC4,22-24Hz,-60.356498619812534,8.7832350330217
3,FC4,24-26Hz,-59.96088853301069,7.605206027528575
3,FC4,26-28Hz,-60.94125669907423,9.68213262262871
3,FC4,28-30Hz,-61.599542427920504,14.777627927852675
3,FC4,30-32Hz,-61.61847249598439,13.505572178620314
3,FC4,32-34Hz,-62.697388578906434,14.152521459540814
3,FC4,34-36Hz,-64.35436060296756,13.173568297643131
3,C3,4-6Hz,-59.654783856548626,9.073790673066137
3,C3,6-8Hz,-60.84436144393733,8.91331356086687
3,C3,8-10Hz,-59.76721974285797,8.02516699338793
3,C3,10-12Hz,-57.71769397809917,5.5777925175973415
3,C3,12-14Hz,-59.3588165829635,5.576598638081284
3,C3,14-16Hz,-63.659701306058395,3.1393493140606505
3,C3,16-18Hz,-64.4987880734303,5.893938699724529
3,C3,18-20Hz,-64.02176140931728,3.8557434118260714
3,C3,20-22Hz,-64.74622657588752,8.641583944859764
3,C3,22-24Hz,-63.873443161654045,8.082919109583335
3,C3,24-26Hz,-62.626812176402105,5.7423118234577295
3,C3,26-28Hz,-63.78927173852024,3.268215303567198
3,C3,28-30Hz,-65.61061886959038,6.792763576271111
3,C3,30-32Hz,-66.24228668299666,7.150131213708161
3,C3,32-34Hz,-67.65716880550556,4.930101814398319
3,C3,34-36Hz,-69.79368937369428,2.557468727316343
3,Cz,4-6Hz,-59.215527109117026,3.736012587554209
3,Cz,6-8Hz,-59.342259439952905,6.648141236629718
3,Cz,8-10Hz,-57.77266608198268,5.702295508221416
3,Cz,10-12Hz,-59.08215762850428,5.858990322971154
3,Cz,12-14Hz,-61.40703291231411,7.336486548208868
3,Cz,14-16Hz,-64.70910611630445,4.5598853839144935
3,Cz,16-18Hz,-64.74347353725952,2.674583040936672
3,Cz,18-20Hz,-65.17762916876055,3.927068404634569
3,Cz,20-22Hz,-66.08759619286393,3.9545557161007094
3,Cz,22-24Hz,-66.28518137283021,3.731885800200301
3,Cz,24-26Hz,-65.83714293221004,5.434555220897554
3,Cz,26-28Hz,-65.90101967602905,6.099396012532768
3,Cz,28-30Hz,-65.92030483963501,6.306479394748876
3,Cz,30-32Hz,-66.60162383437692,4.627297059336782
3,Cz,32-34Hz,-68.10123454437384,4.162558350577843
3,Cz,34-36Hz,-69.79097342723637,3.552066906762199
3,C4,4-6Hz,-60.91626193967557,2.3541682012336875
3,C4,6-8Hz,-61.407377637572345,2.8078683519212646
3,C4,8-10Hz,-59.56060983272771,6.871188324389962
3,C4,10-12Hz,-57.0026407151008,7.991787772212427
3,C4,12-14Hz,-57.079190125395144,7.724316707708627
3,C4,14-16Hz,-62.625237039300515,2.4805624918297284
3,C4,16-18Hz,-64.45685800791695,2.668854883200078
3,C4,18-20Hz,-64.24192369946799,1.787697328076993
3,C4,20-22Hz,-64.8604228751028,3.1605079374807286
3,C4,22-24Hz,-64.6439323703794,4.8863396827456365
3,C4,24-26Hz,-63.99911932474515,5.627597813780818
3,C4,26-28Hz,-65.23407519865783,4.534085018059062
3,C4,28-30Hz,-66.64320456003753,7.081289291469926
3,C4,30-32Hz,-66.89779319864284,6.442752100800533
3,C4,32-34Hz,-67.86906153791176,4.114913041644528
3,C4,34-36Hz,-69.58739151977014,7.883272903302441
3,CP3,4-6Hz,-56.37277433841635,5.636243136619998
3,CP3,6-8Hz,-54.80075212555883,6.839682457201625
3,CP3,8-10Hz,-50.95210146504373,13.911119213326547
3,CP3,10-12Hz,-53.39238116121042,21.095205313497484
3,CP3,12-14Hz,-58.83112232110191,5.490631893697527
3,CP3,14-16Hz,-61.42379595448699,4.72970877636493
3,CP3,16-18Hz,-61.1606907285203,4.402978629701567
3,CP3,18-20Hz,-60.48330158677796,4.759951481619998
3,CP3,20-22Hz,-61.39457678904553,4.176149937262452
3,CP3,22-24Hz,-62.56097700046974,4.169136285684378
3,CP3,24-26Hz,-64.41810306211976,2.861113744955758
3,CP3,26-28Hz,-65.90606867518063,2.3356902516878804
3,CP3,28-30Hz,-67.16021132559023,3.64648402330111
3,CP3,30-32Hz,-67.90867238258214,2.658059567637919
3,CP3,32-34Hz,-69.45338529534897,3.4890948416174634
3,CP3,34-36Hz,-70.61983121849154,2.8330998707960933
3,CPz,4-6Hz,-58.31932106063763,1.9923061835282374
3,CPz,6-8Hz,-57.25614424017192,8.688473952644294
3,CPz,8-10Hz,-53.65714247087578,9.200142230588542
3,CPz,10-12Hz,-55.40082119329889,10.78100757253541
3,CPz,12-14Hz,-61.07174528775558,3.5853130644711895
3,CPz,14-16Hz,-63.39084795776811,4.46369551963961
3,CPz,16-18Hz,-63.56091674249117,3.9845644398667353
3,CPz,18-20Hz,-63.002556139378996,4.062547644018638
3,CPz,20-22Hz,-64.10422549804277,3.9532063982908747
3,CPz,22-24Hz,-66.01046314987389,2.160519790996965
3,CPz,24-26Hz,-67.20506244383017,2.6271511037335404
3,CPz,26-28Hz,-68.38502962072157,2.346821972214999
3,CPz,28-30Hz,-68.73587215679319,3.0050343701121913
3,CPz,30-32Hz,-69.00304424844894,2.0236836247751193
3,CPz,32-34Hz,-70.22669828682372,2.7380437829153843
3,CPz,34-36Hz,-70.99718522105667,4.367573829055702
3,CP4,4-6Hz,-58.0949712338474,4.689014415997525
3,CP4,6-8Hz,-55.92955709431487,5.896851804730899
3,CP4,8-10Hz,-51.69272529674398,11.565692167417021
3,CP4,10-12Hz,-53.62280004667127,18.498198188680014
3,CP4,12-14Hz,-59.85682631662915,7.2144580684331014
3,CP4,14-16Hz,-63.5761584350461,7.313786507797598
3,CP4,16-18Hz,-62.56117390137706,6.116731066824586
3,CP4,18-20Hz,-61.866693500015884,3.535311711152957
3,CP4,20-22Hz,-62.99079002869117,3.9139914797511293
3,CP4,22-24Hz,-65.11393420912201,5.285459990364879
3,CP4,24-26Hz,-66.4119090064767,2.3674916948018963
3,CP4,26-28Hz,-68.07020157878942,4.758349635908739
3,CP4,28-30Hz,-68.25409419991603,4.558739582942437
3,CP4,30-32Hz,-68.7654292861473,4.603595725592493
3,CP4,32-34Hz,-70.10720077603649,4.08622786524285
3,CP4,34-36Hz,-70.81607423079407,3.27798937418837
