FC3,FCz,FC4,C3,Cz,C4,CP3,CPz,CP4,label
0.0163556170321776,0.0235622216917082,0.0040120415242344,0.0091492599478958,0.0022763325441172,-0.0266300735385331,-0.0038981506119251,-0.0449367988251096,0.0347136449980404,2.0
0.0167579073439894,0.0266989799282287,8.943593867377642e-05,0.0072763970712033,0.0058936935705448,-0.031459582023073,-0.0047085407617079,-0.0404181519513711,0.0334349802349232,2.0
0.0147351630693036,0.0265261170007289,-0.0001854974957785,0.0048265607732405,0.0063467445466315,-0.0312696047546746,-0.0061820065843636,-0.0338156660062519,0.0319119300085931,2.0
0.01209540389736,0.0259953958773914,2.77254129137372e-05,0.0023095360228226,0.0046623838941185,-0.0289865831891979,-0.0074368812477902,-0.0257089191032585,0.0295238348730961,2.0
0.0104336692167353,0.0268707373369513,0.0002782204709064,0.0009011478482655,0.0036924020485737,-0.0269456997668289,-0.0098878895993705,-0.0186226565693261,0.023952779275987,2.0
0.0086956523880717,0.023556997823634,0.0014503695994219,-0.0002962020601819,0.0073204624390964,-0.0261202933807032,-0.0127610034794478,-0.0140597789090137,0.0196752670380236,2.0
0.0059202546876561,0.0136265852552051,0.0103459097885596,-0.0012404586090865,0.0144786549423536,-0.0290599728334758,-0.0160574238219814,-0.0099499176626173,0.0175005314411368,2.0
0.0043562761163937,0.0063611646180303,0.0036894337419094,-0.0003886960532164,0.019637158714225,-0.0292119572448444,-0.0186208214007287,-0.0060818453169561,0.0221034747646259,2.0
0.0050070263550477,0.0048507692081227,-0.0071390067220221,0.0018472868917847,0.0185574735980099,-0.0287751555373614,-0.0196459531505175,-0.004279277689193,0.0307448628448698,2.0
0.0088749494227117,0.006811377808908,-0.009391229206012,0.0028163951975368,0.0101451756917959,-0.0286444127776701,-0.0186266012150237,-0.0035865487434999,0.0387190370053134,2.0
0.0149499911167136,0.0109260950356046,-0.0103257107241632,0.0029164367331676,-0.0019362889881759,-0.0245958769565092,-0.0165965830984879,-0.0059820091155864,0.0451189155411169,2.0
0.0203268517221076,0.0157687394196134,-0.0101054232550523,0.0014123979433716,-0.009408046328118,-0.0202794880058806,-0.015701769731496,-0.0126089304389271,0.0501887931532432,2.0
0.0234661143121105,0.0210147435228542,-0.0106505184550447,-0.0014943472581754,-0.0088893681250172,-0.019630729661285,-0.0165155378276546,-0.0195274625296555,0.053165871856876,2.0
0.0239226961895998,0.0218988764768452,-0.0081527239151615,-0.0050460711261337,-0.0015662555581582,-0.0245238986008674,-0.0166372560965069,-0.0224762862075309,0.0530986918283763,2.0
0.0203081039010507,0.0200462938080725,-0.0025222236644801,-0.0075332333735357,0.0080627770017346,-0.032572123746154,-0.0149347223200938,-0.0215853259784943,0.0498986957315122,2.0
0.0211039505985021,0.0238576312118055,0.0124161081710363,0.002474115983064,-0.0055004745401139,-0.0285566360538714,-0.0092352261956163,-0.0204698768306377,0.0239268898088885,1.0
0.0264304861740817,0.0286688067708182,0.0014415211387331,0.0005714427141086,-0.0042986522398424,-0.0233801137866203,-0.0111831803392944,-0.0226899489223942,0.020406329556656,1.0
0.0313423406729238,0.0357864683492431,-0.0127431304361361,-0.0021235193874533,-0.0014450219378988,-0.0187369083597974,-0.0127715663078548,-0.0268203854854677,0.0187039085781793,1.0
0.029633033025641,0.0391369895600151,-0.0171893806138715,-0.0005906346763143,8.258058290155912e-05,-0.0166786854594143,-0.0141000127659149,-0.0299029376134045,0.0169682679431855,1.0
0.0236341572858631,0.0369256450192958,-0.0111577317830132,0.0034584421570973,0.0021090035335088,-0.0189584822348606,-0.0152773487623307,-0.0300465862588672,0.0144232180205671,1.0
0.0199415644873817,0.0330157562065631,-0.0003738723049374,0.0060331172679095,0.0041002397684614,-0.0241226441793966,-0.0155221794168508,-0.028662818922816,0.0113551471359223,1.0
0.0188605642233901,0.0321301229088374,0.0055271001661956,0.0060219309805207,0.0038055052029895,-0.0267554782772674,-0.0133120661266883,-0.0281075792349029,0.0096315019597329,1.0
